ID,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd pledged,usd_pledged_real,usd_goal_real,duration(Days),%funded,launchedNumeric
1860890148,Grace Jones Does Not Give A F$#% T-Shirt (limited Edition) ,Fashion,Fashion,USD,31-05-09,1000,21-04-09 21:02,625,failed,30,US,625,625,1000,39.12305556,62.5,39924.87639
709707365,CRYSTAL ANTLERS UNTITLED MOVIE,Shorts,Film & Video,USD,20-07-09,80000,23-04-09 0:07,22,failed,3,US,22,22,80000,87.99452546,0.0275,39926.00486
1703704063,drawing for dollars,Illustration,Art,USD,03-05-09,20,24-04-09 21:52,35,successful,3,US,35,35,20,8.088854167,175,39927.91111
727286,Offline Wikipedia iPhone app,Software,Technology,USD,14-07-09,99,25-04-09 17:36,145,successful,25,US,145,145,99,79.26642361,146.4646465,39928.73333
1622952265,Pantshirts,Fashion,Fashion,USD,26-05-09,1900,27-04-09 14:10,387,failed,10,US,387,387,1900,28.40927083,20.36842105,39930.59028
2089078683,New York Makes a Book!!,Journalism,Journalism,USD,16-05-09,3000,28-04-09 13:55,3329,successful,110,US,3329,3329,3000,17.41966435,110.9666667,39931.57986
830477146,Web Site for Short Horror Film,Shorts,Film & Video,USD,29-05-09,200,29-04-09 2:04,41,failed,3,US,41,41,200,29.91364583,20.5,39932.08611
266044220,Help me write my second novel.,Fiction,Publishing,USD,29-05-09,500,29-04-09 2:58,563,successful,18,US,563,563,500,29.87581019,112.6,39932.12361
1502297238,Produce a Play (Canceled),Theater,Theater,USD,01-06-09,500,29-04-09 4:37,0,canceled,0,US,0,0,500,32.80721065,0,39932.19236
813230527,Sponsor Dereck Blackburn (Lostwars) Artist in Residence in Kankakee Illinois,Rock,Music,USD,16-05-09,300,29-04-09 5:26,15,failed,2,US,15,15,300,16.77324074,5,39932.22639
469734648,kicey to iceland,Photography,Photography,USD,17-06-09,350,29-04-09 6:43,1630,successful,31,US,1630,1630,350,48.71962963,465.7142857,39932.27986
515267366,Crossword Puzzles!,Puzzles,Games,USD,30-06-09,1500,29-04-09 13:52,2265,successful,163,US,2265,2265,1500,61.4221875,151,39932.57778
1167151653,Smogr Alert Field Recording,Graphic Design,Design,USD,04-07-09,640,29-04-09 22:08,41,failed,3,US,41,41,640,65.07762731,6.40625,39932.92222
177921463,Icons for your iPhone apps,Software,Technology,USD,15-06-09,500,29-04-09 23:11,1820,successful,98,US,1820,1820,500,46.03385417,364,39932.96597
1099226462,Logical Guess Pictures' 2nd Horror Movie!,Film & Video,Film & Video,USD,06-06-09,500,30-04-09 1:32,501.66,successful,22,US,501.66,501.66,500,36.93547454,100.332,39933.06389
2147219671,You Are Among Friends: a book for the little sisters I never had,Publishing,Publishing,USD,01-07-09,350,30-04-09 7:14,750,successful,41,US,750,750,350,61.69854167,214.2857143,39933.30139
1147015301,"""All We Had"" Gets Into Cannes -- $10 or More Gets You Added To Credits!",Documentary,Film & Video,USD,20-05-09,300,30-04-09 22:10,40,failed,4,US,40,40,300,19.07604167,13.33333333,39933.92361
1304906577,Accidental to Edinburgh - PHASE 1: AIRFARE,Theater,Theater,USD,05-06-09,6000,30-04-09 22:22,6575,successful,24,US,6575,6575,6000,35.06755787,109.5833333,39933.93194
1801448924,Accidental to Edinburgh - PHASE 1: REBUILDING THE SET,Theater,Theater,USD,15-07-09,10000,30-04-09 22:23,10145,successful,27,US,10145,10145,10000,75.06710648,101.45,39933.93264
901991585,Produce My Play,Theater,Theater,USD,01-06-09,500,01-05-09 5:06,575,successful,21,US,575,575,500,30.78728009,115,39934.2125
1578671837,Support casting my sculpture in bronze,Sculpture,Art,USD,31-05-09,2000,01-05-09 14:22,25,failed,1,US,25,25,2000,29.40114583,1.25,39934.59861
405307432,Electronola - An electronic gumbo of New Orleans music,Electronic Music,Music,USD,05-06-09,4000,01-05-09 17:44,4100.6,successful,114,US,4100.6,4100.6,4000,34.26082176,102.515,39934.73889
857679098,Up North Cookbook,Nonfiction,Publishing,USD,01-07-09,500,01-05-09 17:51,760,successful,29,US,760,760,500,60.25597222,152,39934.74375
194810285,Help me prototype an LED light for the Kindle (Canceled),Software,Technology,USD,31-07-09,200,02-05-09 20:24,0,canceled,0,US,0,0,200,89.14990741,0,39935.85
2096107260,As The Dust Settles,Film & Video,Film & Video,USD,02-06-09,200,03-05-09 8:37,202,successful,7,US,202,202,200,29.64032407,101,39936.35903
1829288236,A Thousand Shots Photo Project (Creative Commons),Photography,Photography,USD,02-06-09,649,03-05-09 22:15,92,failed,14,US,92,92,649,29.07232639,14.17565485,39936.92708
1100844465,daily digest,Documentary,Film & Video,USD,01-06-09,700,04-05-09 21:14,700,successful,14,US,700,700,700,27.1149537,100,39937.88472
888658718,samcclure.com - a wine and food blog  (Canceled),Food,Food,USD,31-05-09,2000,04-05-09 22:49,350,canceled,2,US,350,350,2000,26.04925926,17.5,39937.95069
1316334968,Drive A Faster Car 2.0,Nonfiction,Publishing,USD,04-06-09,1000,04-05-09 22:51,1367,successful,32,US,1367,1367,1000,30.04755787,136.7,39937.95208
